2025-05-28 17:56:32,149 | INFO | EndPoints | Tokenizer vocabulary updated with 40000 examples.
2025-05-28 17:56:32,364 | WARNING | EndPoints |  Model not found – training new model... (Error(s) in loading state_dict for StackedTransformer:
	size mismatch for embedding.weight: copying a param with shape torch.Size([87, 256]) from checkpoint, the shape in current model is torch.Size([153, 256]).
	size mismatch for fc_out.weight: copying a param with shape torch.Size([87, 256]) from checkpoint, the shape in current model is torch.Size([153, 256]).
	size mismatch for fc_out.bias: copying a param with shape torch.Size([87]) from checkpoint, the shape in current model is torch.Size([153]).)
2025-05-28 17:56:32,777 | INFO | EndPoints | New model trained and saved.
2025-05-28 17:56:32,788 | INFO | EndPoints | Starting Flask server...
2025-05-28 17:57:16,783 | ERROR | EndPoints | Error occurred: index out of range in self
2025-05-28 18:07:55,412 | INFO | EndPoints | Tokenizer vocabulary updated with 40000 examples.
2025-05-28 18:07:55,619 | INFO | EndPoints | Model loaded.
2025-05-28 18:07:55,620 | INFO | EndPoints | Starting Flask server...
2025-05-28 18:09:14,565 | ERROR | EndPoints | Error occurred: index out of range in self
2025-05-28 18:09:38,667 | ERROR | EndPoints | Error occurred: index out of range in self
2025-05-28 18:09:44,491 | ERROR | EndPoints | Error occurred: index out of range in self
2025-05-28 18:09:49,850 | ERROR | EndPoints | Error occurred: index out of range in self
2025-05-28 18:51:19,724 | INFO | EndPoints | Tokenizer vocabulary updated with 40000 examples.
2025-05-28 18:51:19,945 | INFO | EndPoints | Model loaded.
2025-05-28 18:51:19,948 | INFO | EndPoints | Starting Flask server...
2025-05-28 18:52:00,522 | INFO | EndPoints | Tokenizer vocabulary updated with 40000 examples.
2025-05-28 18:52:00,724 | INFO | EndPoints | Model loaded.
2025-05-28 18:52:00,726 | INFO | EndPoints | Starting Flask server...
2025-05-28 18:52:18,542 | ERROR | EndPoints | Error occurred: index out of range in self
2025-05-28 18:53:09,891 | ERROR | EndPoints | Error occurred: index out of range in self
2025-05-28 18:56:44,284 | INFO | EndPoints | Tokenizer vocabulary updated with 40000 examples.
2025-05-28 18:56:44,518 | INFO | EndPoints | Model loaded.
2025-05-28 18:56:44,521 | INFO | EndPoints | Starting Flask server...
2025-05-28 18:57:03,373 | ERROR | EndPoints | Error occurred: index out of range in self
2025-05-28 18:57:28,550 | ERROR | EndPoints | Error occurred: index out of range in self
2025-05-28 18:58:26,939 | INFO | EndPoints | Tokenizer vocabulary updated with 40000 examples.
2025-05-28 18:58:27,151 | INFO | EndPoints | Model loaded.
2025-05-28 18:58:27,154 | INFO | EndPoints | Starting Flask server...
2025-05-28 19:00:00,038 | INFO | EndPoints | Tokenizer vocabulary updated with 40000 examples.
2025-05-28 19:00:00,249 | INFO | EndPoints | Model loaded.
2025-05-28 19:00:00,251 | INFO | EndPoints | Starting Flask server...
2025-05-28 19:00:18,085 | INFO | EndPoints | Tokenizer vocabulary updated with 40000 examples.
2025-05-28 19:00:18,286 | INFO | EndPoints | Model loaded.
2025-05-28 19:00:18,287 | INFO | EndPoints | Starting Flask server...
2025-05-28 19:00:24,769 | ERROR | EndPoints | Error occurred: index out of range in self
2025-05-28 19:04:53,004 | INFO | EndPoints | Tokenizer vocabulary updated with 40000 examples.
2025-05-28 19:04:53,211 | INFO | EndPoints | Model loaded.
2025-05-28 19:04:53,213 | INFO | EndPoints | Starting Flask server...
2025-05-28 19:05:03,539 | ERROR | EndPoints | Error occurred: index out of range in self
